font_family,font_stem,codepoint_hex,character,glyph_name,svg_file
Geosiana Default,geosiana-marker_default,U+00C5,Å,Aring,svg/geosiana-marker_default/u00C5-aring.svg
Geosiana Default,geosiana-marker_default,U+00C6,Æ,AE,svg/geosiana-marker_default/u00C6-ae.svg
Geosiana Default,geosiana-marker_default,U+00C7,Ç,Ccedilla,svg/geosiana-marker_default/u00C7-ccedilla.svg
Geosiana Default,geosiana-marker_default,U+00C8,È,Egrave,svg/geosiana-marker_default/u00C8-egrave.svg
Geosiana Default,geosiana-marker_default,U+00C9,É,Eacute,svg/geosiana-marker_default/u00C9-eacute.svg
Geosiana Default,geosiana-marker_default,U+00CA,Ê,Ecircumflex,svg/geosiana-marker_default/u00CA-ecircumflex.svg
Geosiana Default,geosiana-marker_default,U+00CB,Ë,Edieresis,svg/geosiana-marker_default/u00CB-edieresis.svg
Geosiana Default,geosiana-marker_default,U+00CC,Ì,Igrave,svg/geosiana-marker_default/u00CC-igrave.svg
Geosiana Default,geosiana-marker_default,U+00CD,Í,Iacute,svg/geosiana-marker_default/u00CD-iacute.svg
Geosiana Default,geosiana-marker_default,U+00CE,Î,Icircumflex,svg/geosiana-marker_default/u00CE-icircumflex.svg
Geosiana Default,geosiana-marker_default,U+00CF,Ï,Idieresis,svg/geosiana-marker_default/u00CF-idieresis.svg
Geosiana Default,geosiana-marker_default,U+00D0,Ð,Eth,svg/geosiana-marker_default/u00D0-eth.svg
Geosiana Default,geosiana-marker_default,U+00D1,Ñ,Ntilde,svg/geosiana-marker_default/u00D1-ntilde.svg
Geosiana Default,geosiana-marker_default,U+00D2,Ò,Ograve,svg/geosiana-marker_default/u00D2-ograve.svg
Geosiana Default,geosiana-marker_default,U+00D3,Ó,Oacute,svg/geosiana-marker_default/u00D3-oacute.svg
Geosiana Default,geosiana-marker_default,U+00D4,Ô,Ocircumflex,svg/geosiana-marker_default/u00D4-ocircumflex.svg
Geosiana Default,geosiana-marker_default,U+00D5,Õ,Otilde,svg/geosiana-marker_default/u00D5-otilde.svg
Geosiana Default,geosiana-marker_default,U+00D6,Ö,Odieresis,svg/geosiana-marker_default/u00D6-odieresis.svg
Geosiana Default,geosiana-marker_default,U+00D7,×,multiply,svg/geosiana-marker_default/u00D7-multiply.svg
Geosiana Default,geosiana-marker_default,U+00D8,Ø,Oslash,svg/geosiana-marker_default/u00D8-oslash.svg
Geosiana Default,geosiana-marker_default,U+00D9,Ù,Ugrave,svg/geosiana-marker_default/u00D9-ugrave.svg
Geosiana Default,geosiana-marker_default,U+00DA,Ú,Uacute,svg/geosiana-marker_default/u00DA-uacute.svg
Geosiana Default,geosiana-marker_default,U+00DB,Û,Ucircumflex,svg/geosiana-marker_default/u00DB-ucircumflex.svg
Geosiana Default,geosiana-marker_default,U+00DC,Ü,Udieresis,svg/geosiana-marker_default/u00DC-udieresis.svg
Geosiana Default,geosiana-marker_default,U+00DD,Ý,Yacute,svg/geosiana-marker_default/u00DD-yacute.svg
Geosiana Default,geosiana-marker_default,U+00DE,Þ,Thorn,svg/geosiana-marker_default/u00DE-thorn.svg
Geosiana Default,geosiana-marker_default,U+00DF,ß,germandbls,svg/geosiana-marker_default/u00DF-germandbls.svg
Geosiana Default,geosiana-marker_default,U+00E0,à,agrave,svg/geosiana-marker_default/u00E0-agrave.svg
Geosiana Default,geosiana-marker_default,U+00E1,á,aacute,svg/geosiana-marker_default/u00E1-aacute.svg
Geosiana Default,geosiana-marker_default,U+00E2,â,acircumflex,svg/geosiana-marker_default/u00E2-acircumflex.svg
Geosiana Default,geosiana-marker_default,U+00E3,ã,atilde,svg/geosiana-marker_default/u00E3-atilde.svg
Geosiana Default,geosiana-marker_default,U+00E4,ä,adieresis,svg/geosiana-marker_default/u00E4-adieresis.svg
Geosiana Default,geosiana-marker_default,U+00E5,å,aring,svg/geosiana-marker_default/u00E5-aring.svg
Geosiana Default,geosiana-marker_default,U+00E6,æ,ae,svg/geosiana-marker_default/u00E6-ae.svg
Geosiana Default,geosiana-marker_default,U+00E7,ç,ccedilla,svg/geosiana-marker_default/u00E7-ccedilla.svg
Geosiana Default,geosiana-marker_default,U+00E8,è,egrave,svg/geosiana-marker_default/u00E8-egrave.svg
Geosiana Default,geosiana-marker_default,U+00E9,é,eacute,svg/geosiana-marker_default/u00E9-eacute.svg
Geosiana Default,geosiana-marker_default,U+00EA,ê,ecircumflex,svg/geosiana-marker_default/u00EA-ecircumflex.svg
Geosiana Default,geosiana-marker_default,U+00EB,ë,edieresis,svg/geosiana-marker_default/u00EB-edieresis.svg
Geosiana Default,geosiana-marker_default,U+00EC,ì,igrave,svg/geosiana-marker_default/u00EC-igrave.svg
Geosiana Default,geosiana-marker_default,U+00ED,í,iacute,svg/geosiana-marker_default/u00ED-iacute.svg
Geosiana Default,geosiana-marker_default,U+00EE,î,icircumflex,svg/geosiana-marker_default/u00EE-icircumflex.svg
Geosiana Default,geosiana-marker_default,U+00EF,ï,idieresis,svg/geosiana-marker_default/u00EF-idieresis.svg
Geosiana Default,geosiana-marker_default,U+00F0,ð,eth,svg/geosiana-marker_default/u00F0-eth.svg
Geosiana Default,geosiana-marker_default,U+00F1,ñ,ntilde,svg/geosiana-marker_default/u00F1-ntilde.svg
Geosiana Default,geosiana-marker_default,U+00F2,ò,ograve,svg/geosiana-marker_default/u00F2-ograve.svg
Geosiana Default,geosiana-marker_default,U+00F3,ó,oacute,svg/geosiana-marker_default/u00F3-oacute.svg
Geosiana Default,geosiana-marker_default,U+00F4,ô,ocircumflex,svg/geosiana-marker_default/u00F4-ocircumflex.svg
Geosiana Default,geosiana-marker_default,U+00F5,õ,otilde,svg/geosiana-marker_default/u00F5-otilde.svg
Geosiana Default,geosiana-marker_default,U+00F6,ö,odieresis,svg/geosiana-marker_default/u00F6-odieresis.svg
