font_family,font_stem,codepoint_hex,character,glyph_name,svg_file
Geosiana Forestry,geosiana-marker_forestry,U+00B5,µ,mu,svg/geosiana-marker_forestry/u00B5-mu.svg
Geosiana Forestry,geosiana-marker_forestry,U+00B6,¶,paragraph,svg/geosiana-marker_forestry/u00B6-paragraph.svg
Geosiana Forestry,geosiana-marker_forestry,U+00B7,·,periodcentered,svg/geosiana-marker_forestry/u00B7-periodcentered.svg
Geosiana Forestry,geosiana-marker_forestry,U+00B8,¸,cedilla,svg/geosiana-marker_forestry/u00B8-cedilla.svg
Geosiana Forestry,geosiana-marker_forestry,U+00B9,¹,uni00B9,svg/geosiana-marker_forestry/u00B9-uni00b9.svg
Geosiana Forestry,geosiana-marker_forestry,U+00BA,º,ordmasculine,svg/geosiana-marker_forestry/u00BA-ordmasculine.svg
Geosiana Forestry,geosiana-marker_forestry,U+00BB,»,guillemotright,svg/geosiana-marker_forestry/u00BB-guillemotright.svg
Geosiana Forestry,geosiana-marker_forestry,U+00BC,¼,onequarter,svg/geosiana-marker_forestry/u00BC-onequarter.svg
Geosiana Forestry,geosiana-marker_forestry,U+00BD,½,onehalf,svg/geosiana-marker_forestry/u00BD-onehalf.svg
Geosiana Forestry,geosiana-marker_forestry,U+00BE,¾,threequarters,svg/geosiana-marker_forestry/u00BE-threequarters.svg
Geosiana Forestry,geosiana-marker_forestry,U+00BF,¿,questiondown,svg/geosiana-marker_forestry/u00BF-questiondown.svg
Geosiana Forestry,geosiana-marker_forestry,U+00C0,À,Agrave,svg/geosiana-marker_forestry/u00C0-agrave.svg
Geosiana Forestry,geosiana-marker_forestry,U+00C1,Á,Aacute,svg/geosiana-marker_forestry/u00C1-aacute.svg
Geosiana Forestry,geosiana-marker_forestry,U+00C2,Â,Acircumflex,svg/geosiana-marker_forestry/u00C2-acircumflex.svg
Geosiana Forestry,geosiana-marker_forestry,U+00C3,Ã,Atilde,svg/geosiana-marker_forestry/u00C3-atilde.svg
Geosiana Forestry,geosiana-marker_forestry,U+00C4,Ä,Adieresis,svg/geosiana-marker_forestry/u00C4-adieresis.svg
Geosiana Forestry,geosiana-marker_forestry,U+00C5,Å,Aring,svg/geosiana-marker_forestry/u00C5-aring.svg
Geosiana Forestry,geosiana-marker_forestry,U+00C6,Æ,AE,svg/geosiana-marker_forestry/u00C6-ae.svg
Geosiana Forestry,geosiana-marker_forestry,U+00C7,Ç,Ccedilla,svg/geosiana-marker_forestry/u00C7-ccedilla.svg
Geosiana Forestry,geosiana-marker_forestry,U+00C8,È,Egrave,svg/geosiana-marker_forestry/u00C8-egrave.svg
Geosiana Forestry,geosiana-marker_forestry,U+00C9,É,Eacute,svg/geosiana-marker_forestry/u00C9-eacute.svg
Geosiana Forestry,geosiana-marker_forestry,U+00CA,Ê,Ecircumflex,svg/geosiana-marker_forestry/u00CA-ecircumflex.svg
Geosiana Forestry,geosiana-marker_forestry,U+00CB,Ë,Edieresis,svg/geosiana-marker_forestry/u00CB-edieresis.svg
Geosiana Forestry,geosiana-marker_forestry,U+00CC,Ì,Igrave,svg/geosiana-marker_forestry/u00CC-igrave.svg
Geosiana Forestry,geosiana-marker_forestry,U+00CD,Í,Iacute,svg/geosiana-marker_forestry/u00CD-iacute.svg
